Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
28027,1702005362.4082243,819336,102417,72,102417,72
27732,1702005362.4082243,534816,66852,47,66852,47
28724,1702005362.4082243,1058416,132302,93,132302,93
36619,1702005362.4082243,0,0,0,0,0
24066,1702005362.4082243,443768,55471,39,55471,39
54531,1702005362.4082243,728288,91036,64,91036,64
39710,1702005362.4082243,0,0,0,0,0
28242,1702005362.4082243,842096,105262,74,105262,74
56129,1702005362.4082243,0,0,0,0,0
58796,1702005362.4082243,193384,24173,17,24173,17
28027,1702005363.5083025,415648,51956,38,154373,110
27732,1702005363.5083025,580456,72557,52,139409,99
28724,1702005363.5083025,156232,19529,15,151831,108
24066,1702005363.5083025,694264,86783,62,142254,101
54531,1702005363.5083025,466672,58334,42,149370,106
28242,1702005363.5083025,270080,33760,25,139022,99
58796,1702005363.5083025,859776,107472,76,131645,93
