Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
14265,1702010625.8757608,1319672,164959,117,164959,117
32108,1702010625.8757608,955008,119376,84,119376,84
55249,1702010625.8757608,238672,29834,21,29834,21
62795,1702010625.8757608,761656,95207,67,95207,67
55854,1702010625.8757608,579744,72468,51,72468,51
19556,1702010625.8757608,761656,95207,67,95207,67
48102,1702010625.8757608,682072,85259,60,85259,60
27273,1702010625.8757608,0,0,0,0,0
25910,1702010625.8757608,0,0,0,0,0
39785,1702010625.8757608,0,0,0,0,0
32108,1702010627.193275,148448,18556,14,137932,98
55249,1702010627.193275,778560,97320,69,127154,90
62795,1702010627.193275,286560,35820,26,131027,93
55854,1702010627.193275,459192,57399,41,129867,92
19556,1702010627.193275,313016,39127,29,134334,96
48102,1702010627.193275,364248,45531,33,130790,93
27273,1702010627.193275,881944,110243,78,110243,78
25910,1702010627.193275,882472,110309,79,110309,79
39785,1702010627.193275,864664,108083,77,108083,77
