Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
62701,1702006228.4112804,1092240,136530,96,136530,96
37032,1702006228.4112804,1445120,180640,127,180640,127
15614,1702006228.4112804,807696,100962,71,100962,71
31892,1702006228.4112804,625664,78208,55,78208,55
55362,1702006228.4112804,511888,63986,45,63986,45
25762,1702006228.4112804,716680,89585,63,89585,63
28293,1702006228.4112804,307096,38387,27,38387,27
63778,1702006228.4112804,0,0,0,0,0
40375,1702006228.4112804,0,0,0,0,0
31299,1702006228.4112804,250208,31276,22,31276,22
62701,1702006229.608995,105752,13219,10,149749,106
37032,1702006229.608995,39344,4918,4,185558,131
15614,1702006229.608995,371832,46479,33,147441,104
31892,1702006229.608995,514312,64289,46,142497,101
55362,1702006229.608995,618808,77351,55,141337,100
25762,1702006229.608995,438320,54790,39,144375,102
28293,1702006229.608995,694752,86844,62,125231,89
63778,1702006229.608995,951152,118894,84,118894,84
31299,1702006229.608995,789768,98721,70,129997,92
