Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
13125,1702005849.4764497,1138936,142367,101,142367,101
51952,1702005849.4764497,1184488,148061,105,148061,105
12940,1702005849.4764497,0,0,0,0,0
48426,1702005849.4764497,0,0,0,0,0
35092,1702005849.4764497,1138936,142367,101,142367,101
45428,1702005849.4764497,0,0,0,0,0
25577,1702005849.4764497,0,0,0,0,0
27169,1702005849.4764497,1138936,142367,101,142367,101
31437,1702005849.4764497,830744,103843,73,103843,73
58844,1702005849.4764497,1138936,142367,101,142367,101
27169,1702005850.495886,264,33,0,142400,101
31437,1702005850.495886,302584,37823,27,141666,100
58844,1702005850.495886,264,33,0,142400,101
