Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
34000,1702005315.7189322,1331536,166442,117,166442,117
28606,1702005315.7189322,1411840,176480,125,176480,125
50986,1702005315.7189322,1217552,152194,107,152194,107
60229,1702005315.7189322,352656,44082,31,44082,31
42143,1702005315.7189322,0,0,0,0,0
53686,1702005315.7189322,0,0,0,0,0
41967,1702005315.7189322,0,0,0,0,0
61142,1702005315.7189322,0,0,0,0,0
32446,1702005315.7189322,0,0,0,0,0
56362,1702005315.7189322,0,0,0,0,0
34000,1702005317.4864097,39368,4921,4,171363,121
28606,1702005317.4864097,320,40,0,176520,125
50986,1702005317.4864097,116688,14586,11,166780,118
60229,1702005317.4864097,548120,68515,49,112597,80
42143,1702005317.4864097,663872,82984,59,82984,59
53686,1702005317.4864097,644536,80567,57,80567,57
32446,1702005317.4864097,734736,91842,65,91842,65
56362,1702005317.4864097,683208,85401,61,85401,61
