Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
53139,1702005285.5762403,909928,113741,80,113741,80
51625,1702005285.5762403,739280,92410,65,92410,65
61668,1702005285.5762403,693784,86723,61,86723,61
26657,1702005285.5762403,0,0,0,0,0
64343,1702005285.5762403,0,0,0,0,0
58956,1702005285.5762403,0,0,0,0,0
64483,1702005285.5762403,227408,28426,20,28426,20
28774,1702005285.5762403,557288,69661,49,69661,49
60907,1702005285.5762403,0,0,0,0,0
37596,1702005285.5762403,0,0,0,0,0
53139,1702005286.7589386,270880,33860,25,147601,105
51625,1702005286.7589386,405528,50691,36,143101,101
61668,1702005286.7589386,405496,50687,36,137410,97
64483,1702005286.7589386,770952,96369,68,124795,88
28774,1702005286.7589386,540152,67519,48,137180,97
