Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
26379,1702006345.3345091,1205680,150710,107,150710,107
51372,1702006345.3345091,1011648,126456,89,126456,89
36290,1702006345.3345091,966224,120778,85,120778,85
48306,1702006345.3345091,943408,117926,83,117926,83
34790,1702006345.3345091,1011704,126463,89,126463,89
46240,1702006345.3345091,1285416,160677,114,160677,114
45760,1702006345.3345091,0,0,0,0,0
31363,1702006345.3345091,841104,105138,74,105138,74
43023,1702006345.3345091,0,0,0,0,0
40092,1702006345.3345091,647768,80971,57,80971,57
51372,1702006346.484026,289264,36158,26,162614,115
36290,1702006346.484026,160384,20048,15,140826,100
48306,1702006346.484026,318880,39860,29,157786,112
34790,1702006346.484026,160448,20056,15,146519,104
46240,1702006346.484026,1632,204,0,160881,114
31363,1702006346.484026,328656,41082,30,146220,104
40092,1702006346.484026,655216,81902,58,162873,115
