Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
26164,1702005877.853567,1149544,143693,102,143693,102
62222,1702005877.853567,1138176,142272,101,142272,101
61324,1702005877.853567,1138176,142272,101,142272,101
64109,1702005877.853567,1138176,142272,101,142272,101
18093,1702005877.853567,0,0,0,0,0
27905,1702005877.853567,1138176,142272,101,142272,101
46643,1702005877.853567,0,0,0,0,0
56397,1702005877.853567,1137480,142185,100,142185,100
19450,1702005877.853567,0,0,0,0,0
21221,1702005877.853567,0,0,0,0,0
62222,1702005878.8865058,1000,125,0,142397,101
61324,1702005878.8865058,1000,125,0,142397,101
56397,1702005878.8865058,1672,209,1,142394,101
