Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
60048,1702005208.2047527,1160360,145045,103,145045,103
36845,1702005208.2047527,1087840,135980,96,135980,96
17123,1702005208.2047527,859208,107401,75,107401,75
30849,1702005208.2047527,258752,32344,23,32344,23
26402,1702005208.2047527,0,0,0,0,0
41218,1702005208.2047527,817784,102223,72,102223,72
42781,1702005208.2047527,0,0,0,0,0
44697,1702005208.2047527,0,0,0,0,0
15806,1702005208.2047527,0,0,0,0,0
15245,1702005208.2047527,0,0,0,0,0
17123,1702005209.9386573,240248,30031,22,137432,97
30849,1702005209.9386573,507792,63474,45,95818,68
26402,1702005209.9386573,709984,88748,63,88748,63
41218,1702005209.9386573,270696,33837,24,136060,96
42781,1702005209.9386573,657016,82127,58,82127,58
44697,1702005209.9386573,657016,82127,58,82127,58
