Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
33251,1702006248.826972,1247024,155878,110,155878,110
34060,1702006248.826972,1133656,141707,101,141707,101
29484,1702006248.826972,1133656,141707,101,141707,101
22268,1702006248.826972,1144992,143124,102,143124,102
47356,1702006248.826972,0,0,0,0,0
17348,1702006248.826972,1133656,141707,101,141707,101
27444,1702006248.826972,0,0,0,0,0
33149,1702006248.826972,0,0,0,0,0
42535,1702006248.826972,679624,84953,60,84953,60
52525,1702006248.826972,1133656,141707,101,141707,101
22268,1702006249.8437293,5512,689,0,143813,102
17348,1702006249.8437293,5464,683,0,142390,101
42535,1702006249.8437293,452008,56501,40,141454,100
52525,1702006249.8437293,5464,683,0,142390,101
